Total Calls,Total Folds,Total Raises,Total Bets,Total Hands,Preflop Calls,Preflop Raises,Preflop Folds,VPIP,PFR,Agression Factor,Number of Shows,Number of Stands,Profit Yes or No
111.0,100.0,8.0,23.0,126.0,66.0,3.0,66.0,54.76,2.38,0.28,24.0,1.0,0.0
51.0,70.0,23.0,17.0,152.0,52.0,21.0,81.0,48.03,13.82,0.78,21.0,2.0,1.0
25.0,51.0,24.0,12.0,73.0,13.0,20.0,40.0,45.21,27.4,1.44,14.0,0.0,0.0
68.0,88.0,4.0,29.0,111.0,41.0,2.0,67.0,38.74,1.8,0.49,41.0,2.0,0.0
48.0,130.0,34.0,28.0,157.0,28.0,27.0,101.0,35.03,17.2,1.29,34.0,0.0,1.0
20.0,51.0,6.0,8.0,61.0,9.0,4.0,47.0,21.31,6.56,0.7,8.0,0.0,0.0
40.0,115.0,55.0,42.0,158.0,21.0,51.0,87.0,45.57,32.28,2.42,30.0,0.0,1.0
0.0,0.0,0.0,0.0,157.0,61.0,18.0,84.0,50.32,11.46,0.0,0.0,0.0,0.0
17.0,29.0,16.0,12.0,45.0,8.0,14.0,22.0,48.89,31.11,1.65,11.0,0.0,0.0
14.0,37.0,11.0,9.0,46.0,8.0,7.0,27.0,32.61,15.22,1.43,4.0,0.0,0.0
20.0,34.0,9.0,13.0,46.0,14.0,6.0,25.0,43.48,13.04,1.1,7.0,0.0,1.0
0.0,0.0,0.0,0.0,46.0,17.0,13.0,17.0,65.22,28.26,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,31.0,11.0,1.0,21.0,38.71,3.23,0.0,0.0,0.0,0.0
49.0,107.0,11.0,28.0,123.0,30.0,10.0,87.0,32.52,8.13,0.8,17.0,0.0,1.0
213.0,49.0,45.0,39.0,115.0,77.0,37.0,4.0,99.13,32.17,0.39,45.0,0.0,1.0
42.0,70.0,9.0,19.0,82.0,30.0,8.0,52.0,46.34,9.76,0.67,5.0,0.0,0.0
103.0,149.0,72.0,124.0,247.0,61.0,55.0,119.0,46.96,22.27,1.9,72.0,1.0,1.0
56.0,158.0,19.0,17.0,182.0,29.0,16.0,136.0,24.73,8.79,0.64,14.0,1.0,0.0
57.0,104.0,36.0,39.0,150.0,30.0,29.0,83.0,39.33,19.33,1.32,15.0,0.0,0.0
83.0,212.0,45.0,35.0,254.0,50.0,39.0,172.0,35.04,15.35,0.96,23.0,0.0,0.0
0.0,0.0,0.0,0.0,249.0,72.0,30.0,147.0,40.96,12.05,0.0,0.0,0.0,0.0
4.0,10.0,4.0,5.0,16.0,4.0,3.0,9.0,43.75,18.75,2.25,4.0,0.0,0.0
94.0,208.0,63.0,52.0,260.0,58.0,57.0,150.0,44.23,21.92,1.22,32.0,1.0,0.0
208.0,183.0,38.0,68.0,264.0,121.0,33.0,111.0,58.33,12.5,0.51,37.0,0.0,0.0
58.0,199.0,69.0,61.0,267.0,35.0,61.0,168.0,35.96,22.85,2.24,23.0,1.0,1.0
53.0,219.0,70.0,48.0,268.0,28.0,57.0,183.0,31.72,21.27,2.23,29.0,0.0,1.0
183.0,186.0,24.0,60.0,257.0,112.0,14.0,143.0,49.03,5.45,0.46,64.0,0.0,1.0
77.0,104.0,17.0,28.0,132.0,43.0,14.0,77.0,43.18,10.61,0.58,22.0,1.0,1.0
52.0,102.0,22.0,14.0,120.0,27.0,19.0,81.0,38.33,15.83,0.69,9.0,0.0,0.0
61.0,178.0,60.0,44.0,229.0,38.0,49.0,134.0,37.99,21.4,1.7,39.0,0.0,0.0
38.0,70.0,15.0,16.0,88.0,23.0,13.0,56.0,40.91,14.77,0.82,19.0,3.0,1.0
4.0,5.0,2.0,2.0,60.0,31.0,12.0,25.0,71.67,20.0,1.0,17.0,0.0,0.0
30.0,59.0,6.0,12.0,65.0,22.0,6.0,47.0,43.08,9.23,0.6,15.0,1.0,0.0
94.0,144.0,38.0,84.0,206.0,54.0,32.0,113.0,41.75,15.53,1.3,32.0,0.0,1.0
4.0,8.0,5.0,1.0,11.0,4.0,2.0,5.0,54.55,18.18,1.5,2.0,0.0,0.0
74.0,187.0,50.0,44.0,229.0,48.0,40.0,141.0,38.43,17.47,1.27,26.0,0.0,1.0
50.0,57.0,15.0,13.0,76.0,25.0,11.0,43.0,47.37,14.47,0.56,21.0,0.0,0.0
0.0,0.0,0.0,0.0,213.0,78.0,42.0,101.0,56.34,19.72,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,152.0,63.0,12.0,75.0,49.34,7.89,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,60.0,24.0,4.0,33.0,46.67,6.67,0.0,0.0,0.0,0.0
23.0,89.0,27.0,18.0,122.0,11.0,25.0,83.0,29.51,20.49,1.96,30.0,0.0,0.0
4.0,8.0,1.0,0.0,12.0,4.0,1.0,8.0,41.67,8.33,0.25,8.0,1.0,0.0
66.0,107.0,4.0,12.0,126.0,39.0,3.0,88.0,33.33,2.38,0.24,19.0,1.0,0.0
36.0,117.0,40.0,29.0,162.0,16.0,37.0,94.0,32.72,22.84,1.92,35.0,0.0,1.0
49.0,118.0,45.0,50.0,162.0,33.0,39.0,91.0,44.44,24.07,1.94,35.0,0.0,0.0
0.0,0.0,0.0,0.0,157.0,57.0,12.0,94.0,43.95,7.64,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,144.0,51.0,27.0,74.0,54.17,18.75,0.0,0.0,0.0,0.0
62.0,140.0,20.0,14.0,161.0,39.0,15.0,115.0,33.54,9.32,0.55,17.0,1.0,0.0
44.0,81.0,13.0,26.0,103.0,25.0,12.0,66.0,35.92,11.65,0.89,13.0,0.0,1.0
52.0,38.0,19.0,15.0,63.0,30.0,12.0,24.0,66.67,19.05,0.65,15.0,0.0,0.0
84.0,154.0,46.0,24.0,193.0,43.0,33.0,128.0,39.38,17.1,0.83,27.0,1.0,1.0
47.0,69.0,39.0,39.0,108.0,27.0,31.0,53.0,53.7,28.7,1.66,22.0,0.0,0.0
11.0,9.0,5.0,3.0,14.0,4.0,4.0,6.0,57.14,28.57,0.73,3.0,0.0,0.0
61.0,164.0,38.0,26.0,196.0,40.0,30.0,138.0,35.71,15.31,1.05,15.0,0.0,1.0
50.0,161.0,42.0,32.0,196.0,31.0,33.0,141.0,32.65,16.84,1.48,17.0,0.0,1.0
44.0,162.0,51.0,33.0,196.0,25.0,39.0,136.0,32.65,19.9,1.91,17.0,0.0,1.0
0.0,0.0,0.0,0.0,141.0,32.0,19.0,101.0,36.17,13.48,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,59.0,25.0,11.0,31.0,61.02,18.64,0.0,0.0,0.0,0.0
15.0,28.0,0.0,3.0,33.0,10.0,0.0,21.0,30.3,0.0,0.2,3.0,1.0,1.0
25.0,58.0,3.0,5.0,65.0,20.0,2.0,50.0,33.85,3.08,0.32,2.0,0.0,0.0
58.0,45.0,24.0,35.0,74.0,33.0,21.0,23.0,72.97,28.38,1.02,10.0,0.0,1.0
54.0,88.0,13.0,14.0,107.0,31.0,10.0,69.0,38.32,9.35,0.5,11.0,2.0,1.0
51.0,88.0,8.0,18.0,106.0,32.0,7.0,69.0,36.79,6.6,0.51,4.0,0.0,1.0
39.0,46.0,10.0,18.0,67.0,25.0,8.0,34.0,49.25,11.94,0.72,9.0,3.0,1.0
65.0,150.0,66.0,36.0,216.0,30.0,56.0,117.0,39.81,25.93,1.57,22.0,0.0,0.0
60.0,173.0,47.0,36.0,218.0,31.0,43.0,139.0,33.94,19.72,1.38,15.0,0.0,0.0
119.0,140.0,47.0,80.0,209.0,74.0,45.0,102.0,56.94,21.53,1.07,30.0,0.0,1.0
13.0,30.0,6.0,15.0,39.0,8.0,6.0,23.0,35.9,15.38,1.62,15.0,6.0,0.0
51.0,158.0,60.0,41.0,205.0,29.0,48.0,128.0,37.56,23.41,1.98,28.0,1.0,1.0
136.0,146.0,45.0,34.0,201.0,75.0,40.0,91.0,57.21,19.9,0.58,37.0,0.0,1.0
76.0,126.0,40.0,39.0,187.0,53.0,32.0,99.0,45.45,17.11,1.04,23.0,0.0,1.0
40.0,170.0,45.0,35.0,208.0,23.0,37.0,144.0,28.85,17.79,2.0,26.0,0.0,1.0
0.0,0.0,0.0,0.0,86.0,27.0,5.0,58.0,37.21,5.81,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,173.0,62.0,25.0,93.0,50.29,14.45,0.0,0.0,0.0,0.0
63.0,64.0,13.0,17.0,90.0,36.0,10.0,44.0,51.11,11.11,0.48,19.0,0.0,0.0
74.0,177.0,37.0,39.0,220.0,45.0,31.0,151.0,34.55,14.09,1.03,21.0,3.0,0.0
34.0,178.0,26.0,29.0,205.0,20.0,25.0,156.0,21.95,12.2,1.62,13.0,0.0,1.0
37.0,118.0,20.0,19.0,136.0,17.0,19.0,104.0,26.47,13.97,1.05,5.0,2.0,1.0
108.0,126.0,28.0,48.0,165.0,67.0,22.0,81.0,53.94,13.33,0.7,18.0,0.0,0.0
99.0,155.0,23.0,34.0,188.0,67.0,17.0,120.0,44.68,9.04,0.58,15.0,1.0,1.0
87.0,120.0,7.0,10.0,136.0,51.0,4.0,92.0,40.44,2.94,0.2,11.0,1.0,0.0
47.0,194.0,44.0,37.0,229.0,30.0,42.0,163.0,31.44,18.34,1.72,22.0,0.0,1.0
37.0,196.0,48.0,24.0,229.0,17.0,44.0,171.0,26.64,19.21,1.95,16.0,0.0,1.0
0.0,0.0,0.0,0.0,157.0,46.0,21.0,97.0,42.68,13.38,0.0,0.0,0.0,0.0
52.0,52.0,28.0,28.0,76.0,28.0,21.0,37.0,64.47,27.63,1.08,13.0,0.0,1.0
73.0,172.0,52.0,44.0,219.0,44.0,47.0,141.0,41.55,21.46,1.32,23.0,1.0,0.0
99.0,135.0,17.0,31.0,166.0,52.0,12.0,109.0,38.55,7.23,0.48,15.0,0.0,0.0
51.0,197.0,28.0,30.0,223.0,32.0,26.0,168.0,26.01,11.66,1.14,19.0,1.0,1.0
8.0,11.0,3.0,5.0,15.0,5.0,1.0,8.0,40.0,6.67,1.0,2.0,1.0,1.0
37.0,44.0,14.0,13.0,59.0,19.0,11.0,31.0,50.85,18.64,0.73,8.0,0.0,0.0
116.0,182.0,45.0,37.0,227.0,58.0,39.0,138.0,42.73,17.18,0.71,27.0,0.0,1.0
97.0,105.0,34.0,36.0,147.0,55.0,32.0,78.0,59.18,21.77,0.72,25.0,0.0,0.0
11.0,47.0,4.0,4.0,53.0,7.0,4.0,42.0,20.75,7.55,0.73,2.0,1.0,0.0
47.0,120.0,49.0,31.0,157.0,24.0,43.0,101.0,42.68,27.39,1.7,23.0,1.0,1.0
29.0,37.0,10.0,7.0,45.0,13.0,8.0,25.0,46.67,17.78,0.59,6.0,0.0,1.0
0.0,0.0,0.0,0.0,199.0,69.0,16.0,135.0,42.71,8.04,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,77.0,41.0,13.0,30.0,70.13,16.88,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,97.0,25.0,9.0,68.0,35.05,9.28,0.0,0.0,0.0,0.0
62.0,238.0,43.0,45.0,290.0,33.0,38.0,214.0,24.48,13.1,1.42,23.0,1.0,1.0
99.0,168.0,35.0,33.0,208.0,58.0,30.0,126.0,42.31,14.42,0.69,24.0,4.0,0.0
81.0,110.0,13.0,38.0,140.0,50.0,9.0,82.0,42.14,6.43,0.63,15.0,0.0,0.0
17.0,19.0,1.0,6.0,79.0,34.0,2.0,44.0,45.57,2.53,0.41,17.0,0.0,0.0
91.0,183.0,65.0,48.0,246.0,73.0,50.0,144.0,50.0,20.33,1.24,36.0,1.0,0.0
41.0,22.0,7.0,19.0,43.0,24.0,5.0,16.0,67.44,11.63,0.63,7.0,0.0,1.0
90.0,213.0,90.0,55.0,293.0,55.0,78.0,162.0,45.39,26.62,1.61,26.0,0.0,1.0
73.0,221.0,65.0,48.0,293.0,38.0,56.0,189.0,32.08,19.11,1.55,46.0,0.0,0.0
0.0,0.0,0.0,0.0,14.0,6.0,0.0,8.0,42.86,0.0,0.0,0.0,0.0,0.0
49.0,200.0,9.0,17.0,214.0,38.0,8.0,182.0,21.5,3.74,0.53,23.0,2.0,0.0
50.0,83.0,25.0,30.0,114.0,28.0,19.0,70.0,41.23,16.67,1.1,16.0,1.0,1.0
43.0,95.0,39.0,35.0,127.0,24.0,28.0,80.0,40.94,22.05,1.72,15.0,0.0,0.0
69.0,143.0,19.0,34.0,175.0,45.0,15.0,122.0,34.29,8.57,0.77,15.0,3.0,0.0
71.0,160.0,35.0,36.0,198.0,41.0,30.0,130.0,35.86,15.15,1.0,14.0,2.0,0.0
29.0,64.0,14.0,12.0,80.0,17.0,10.0,50.0,33.75,12.5,0.9,11.0,1.0,0.0
68.0,75.0,8.0,11.0,93.0,48.0,5.0,52.0,56.99,5.38,0.28,15.0,0.0,0.0
35.0,78.0,24.0,13.0,100.0,16.0,22.0,64.0,38.0,22.0,1.06,15.0,0.0,0.0
44.0,146.0,9.0,10.0,156.0,31.0,9.0,125.0,25.64,5.77,0.43,6.0,4.0,0.0
12.0,31.0,4.0,5.0,37.0,8.0,4.0,28.0,32.43,10.81,0.75,8.0,0.0,1.0
59.0,107.0,15.0,12.0,124.0,35.0,10.0,83.0,36.29,8.06,0.46,13.0,1.0,1.0
50.0,178.0,57.0,49.0,224.0,26.0,47.0,153.0,32.59,20.98,2.12,25.0,0.0,1.0
42.0,77.0,28.0,22.0,105.0,24.0,26.0,53.0,47.62,24.76,1.19,21.0,1.0,1.0
7.0,16.0,7.0,5.0,23.0,2.0,6.0,14.0,34.78,26.09,1.71,4.0,0.0,0.0
60.0,100.0,23.0,30.0,128.0,41.0,19.0,71.0,46.88,14.84,0.88,22.0,0.0,0.0
47.0,98.0,45.0,39.0,130.0,23.0,40.0,75.0,48.46,30.77,1.79,20.0,1.0,1.0
32.0,114.0,16.0,14.0,130.0,20.0,14.0,98.0,26.15,10.77,0.94,9.0,0.0,1.0
42.0,78.0,20.0,28.0,101.0,27.0,17.0,55.0,43.56,16.83,1.14,17.0,0.0,1.0
102.0,82.0,15.0,31.0,117.0,56.0,13.0,53.0,58.97,11.11,0.45,14.0,0.0,1.0
40.0,52.0,5.0,11.0,65.0,23.0,4.0,40.0,41.54,6.15,0.4,10.0,0.0,0.0
37.0,78.0,18.0,12.0,92.0,24.0,15.0,57.0,42.39,16.3,0.81,8.0,0.0,0.0
15.0,36.0,11.0,5.0,46.0,7.0,9.0,32.0,34.78,19.57,1.07,9.0,0.0,0.0
28.0,106.0,25.0,21.0,131.0,16.0,24.0,91.0,30.53,18.32,1.64,7.0,1.0,1.0
108.0,113.0,40.0,45.0,170.0,64.0,35.0,81.0,58.24,20.59,0.79,29.0,0.0,0.0
5.0,46.0,12.0,6.0,52.0,3.0,11.0,38.0,26.92,21.15,3.6,1.0,0.0,1.0
40.0,139.0,50.0,38.0,179.0,19.0,46.0,115.0,36.31,25.7,2.2,17.0,1.0,0.0
69.0,117.0,42.0,34.0,162.0,37.0,33.0,96.0,43.21,20.37,1.1,12.0,0.0,0.0
29.0,152.0,40.0,30.0,181.0,19.0,35.0,137.0,29.83,19.34,2.41,15.0,0.0,1.0
25.0,64.0,16.0,19.0,81.0,13.0,14.0,56.0,33.33,17.28,1.4,7.0,1.0,1.0
147.0,51.0,39.0,46.0,117.0,70.0,35.0,19.0,89.74,29.91,0.58,45.0,0.0,0.0
44.0,205.0,26.0,21.0,229.0,30.0,23.0,184.0,23.14,10.04,1.07,11.0,1.0,0.0
35.0,122.0,28.0,17.0,144.0,17.0,24.0,102.0,28.47,16.67,1.29,16.0,1.0,1.0
25.0,39.0,12.0,7.0,55.0,15.0,9.0,31.0,43.64,16.36,0.76,8.0,0.0,0.0
55.0,64.0,18.0,20.0,88.0,29.0,14.0,49.0,48.86,15.91,0.69,15.0,2.0,0.0
46.0,160.0,29.0,43.0,196.0,28.0,28.0,138.0,28.57,14.29,1.57,18.0,2.0,1.0
55.0,78.0,23.0,14.0,101.0,37.0,13.0,56.0,49.5,12.87,0.67,13.0,0.0,0.0
34.0,91.0,20.0,26.0,110.0,17.0,17.0,75.0,30.91,15.45,1.35,10.0,1.0,1.0
145.0,144.0,41.0,56.0,210.0,80.0,34.0,106.0,54.29,16.19,0.67,63.0,0.0,1.0
80.0,216.0,40.0,40.0,257.0,43.0,34.0,182.0,29.96,13.23,1.0,31.0,0.0,1.0
33.0,204.0,28.0,21.0,225.0,25.0,26.0,183.0,22.67,11.56,1.48,11.0,0.0,0.0
14.0,34.0,4.0,1.0,39.0,9.0,1.0,29.0,25.64,2.56,0.36,3.0,0.0,0.0
0.0,0.0,0.0,0.0,166.0,51.0,11.0,112.0,37.35,6.63,0.0,0.0,0.0,0.0
85.0,108.0,16.0,32.0,147.0,49.0,11.0,89.0,40.82,7.48,0.56,14.0,3.0,1.0
29.0,140.0,45.0,30.0,177.0,19.0,40.0,118.0,33.33,22.6,2.59,14.0,1.0,0.0
63.0,138.0,63.0,53.0,201.0,39.0,58.0,106.0,48.26,28.86,1.84,19.0,2.0,1.0
15.0,37.0,5.0,6.0,45.0,11.0,4.0,28.0,33.33,8.89,0.73,7.0,0.0,0.0
12.0,9.0,3.0,0.0,13.0,8.0,2.0,5.0,76.92,15.38,0.25,2.0,0.0,0.0
67.0,156.0,57.0,40.0,206.0,39.0,55.0,113.0,45.63,26.7,1.45,23.0,0.0,1.0
6.0,7.0,5.0,6.0,14.0,3.0,4.0,6.0,50.0,28.57,1.83,3.0,0.0,0.0
68.0,88.0,27.0,41.0,125.0,38.0,25.0,70.0,50.4,20.0,1.0,21.0,0.0,1.0
0.0,0.0,0.0,0.0,19.0,4.0,4.0,10.0,42.11,21.05,0.0,0.0,0.0,0.0
3.0,10.0,0.0,0.0,11.0,3.0,0.0,9.0,27.27,0.0,0.0,6.0,1.0,0.0
6.0,10.0,2.0,1.0,47.0,7.0,4.0,24.0,23.4,8.51,0.5,7.0,1.0,0.0
58.0,82.0,11.0,22.0,255.0,101.0,11.0,161.0,43.92,4.31,0.57,50.0,6.0,1.0
72.0,251.0,72.0,71.0,315.0,38.0,61.0,195.0,31.43,19.37,1.99,56.0,0.0,0.0
107.0,237.0,100.0,53.0,315.0,42.0,87.0,173.0,40.95,27.62,1.43,49.0,0.0,0.0
0.0,0.0,0.0,0.0,315.0,96.0,23.0,181.0,37.78,7.3,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,291.0,169.0,47.0,98.0,74.23,16.15,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,126.0,30.0,28.0,75.0,46.03,22.22,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,73.0,20.0,8.0,50.0,38.36,10.96,0.0,0.0,0.0,0.0
44.0,187.0,41.0,33.0,227.0,26.0,37.0,167.0,27.75,16.3,1.68,23.0,1.0,1.0
35.0,82.0,25.0,24.0,108.0,21.0,18.0,73.0,36.11,16.67,1.4,17.0,0.0,0.0
43.0,198.0,41.0,26.0,228.0,26.0,36.0,170.0,27.19,15.79,1.56,16.0,0.0,0.0
56.0,102.0,31.0,25.0,130.0,37.0,24.0,76.0,46.92,18.46,1.0,10.0,1.0,0.0
88.0,135.0,33.0,38.0,174.0,55.0,28.0,101.0,47.7,16.09,0.81,19.0,1.0,1.0
88.0,176.0,52.0,56.0,231.0,53.0,45.0,136.0,42.42,19.48,1.23,24.0,0.0,1.0
